,0
deaths,1.0
s30,0.8111792265562527
y2401,0.7621722487837826
y0507,0.7196862549575038
s22c,0.7158166130860816
yah2,0.6680529168701598
y0304,0.6495322366991787
s21c,0.6227495173111779
o25d,0.6183239054455932
y26_4e_mo,0.614186963994635
y0306h,0.6048510079883194
s7,0.5913604727232711
hh_d_accesi,0.5836313665924665
y2004h,0.5776677611043757
o24d,0.5757097577372343
o24b,0.5684614055974389
y25e,0.5624093131138388
e14bm,0.5469632503644871
yinv01,0.5453744895730418
yinv03h,0.5268238433639342
y26_4c_mo,0.5176348001102669
s25c,0.5105871043291074
ydon,0.5087744377107475
r21e,0.5024435829838009
y2507h,0.4861152705541445
o24c,0.48532189592233815
r10e,0.4794142309702573
r13a,0.47742162969993324
v37d,0.47052468452514806
s26b_c2,0.4456148871894281
e7_subarea,0.4340932376370553
r18,0.43239928796152033
e7_cod_area,0.43198014712193106
s23c,0.4299145218324821
r1b_p_cod,0.4248233667334353
s25a,0.4236692547752438
yorfh,0.42052580465563216
e16,0.41010360936740525
y260201,0.4047647801453553
hh_d_mal,0.40399302248909896
v37i,0.4035844797692855
y260201c,0.40282106040932464
hh_d_acc,0.3997946602818647
yinv01h,0.3974803608540888
e14mm,0.3953211914475665
y0508,0.3905324504479738
r13b,0.3874300022400159
s25b,0.3794484063422083
y26_2em1,0.3761168868943312
yta2h,0.37500757944152624
s1,0.37407081221175376
y26_4f_mo,0.37195864349475216
r24,0.3654468200850282
e9rbd,0.3635329960235649
ch3,0.3575573702901575
y26_3g_in,0.35250044607217434
v37g,0.34553251739315566
e14bd,0.3423691595596109
r21h,0.34169480921040335
y0304h,0.3388970908649795
yidsh,0.33209503548004843
y3bp,0.331483910123129
s24a,0.33102031535331145
o14,0.3290080779887773
v10,0.3270562419462129
y26_2bm1,0.32509203267229825
y25e_o,0.31577567691285424
e12b,0.3138570435385704
v37e,0.3063436285532423
ymesh,0.30576766405038486
h10c,0.3048124541013086
y25g,0.3048062669831267
s22b,0.303541863222816
r21d,0.29752362960353085
r9s,0.289655237806369
yesph,0.28786703963418103
y26_3c_in,0.2851914153872476
r9q,0.28267483599402016
s32d,0.28215718332704137
s23b,0.27864245998335246
v38a,0.27670728018611335
e14pbm,0.27602753909304195
e0,0.27583229805546333
s32c,0.2751162646173384
r7c,0.27376728445465115
s26a,0.2645913529766932
e12a,0.2628122595911757
s34b_ord,0.2564036955056373
y26_2em2,0.2563876889661042
r7b,0.2542882923393223
h6l,0.2528623291188452
s33j2,0.24981175549138182
o24a,0.24837876305198398
y24_o,0.24496660750812702
o0,0.2446998668525721
e12c,0.24401051887742142
ch4,0.2420095531047547
v0a_2,0.24090115192458592
pres,0.23978977262041315
y25c,0.2394150602761904
e14md,0.23913826420418496
hh_d_jub,0.23854848213343124
v34,0.23705712732266873
o26,0.23681912783121337
r7a,0.2345564615449523
v6,0.23072351537753447
s21b,0.22780856164489965
r7h,0.22621249543977512
v4,0.2252537644197668
hh_d_act,0.22510572517828872
y26_1a,0.22364764429473197
y13a,0.22213367453251825
r7e,0.2192904733006111
ydesh,0.21709931821687256
r21f,0.21663623367875554
y27a,0.21641584260701624
e14bpc,0.21332519161092098
h10d,0.2124087131023025
e9depen,0.2073210785256665
r0,0.20652495506507537
y24,0.20633089704587795
o25b,0.20278035924841006
r21b,0.20217203000923226
y26_1d,0.19557262922439123
y2401h,0.19331807371498988
s14,0.19218280133648202
r1a_cod,0.19084493383926787
r1cp,0.1842257455073314
hh_d_asis,0.18333062014087673
r2_p_cod,0.18313681526133685
r21g,0.18142195309838138
o25a_min,0.1803984383078415
r7j,0.17935032908979257
o20,0.17886809432213677
y27b,0.17846090002306594
y14b,0.17676593884259142
ch2,0.17507025977349394
s32e,0.1738014014603906
s20c,0.17335678403986712
s32f,0.17160418220517887
h10b,0.16967943281258543
pco2,0.1695652840976743
